countyfips,No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree","Associate's degree, type not specified",Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctoral degree
65," 11,286 ", -   , 479 , 235 ," 2,056 "," 1,446 "," 2,044 "," 4,748 "," 19,774 "," 2,253 "," 5,578 "," 15,136 "," 10,739 "," 13,806 "," 23,032 "," 209,982 "," 22,846 "," 42,950 "," 139,684 "," 68,225 "," 122,863 "," 42,878 "," 8,867 "," 6,113 "
67," 6,080 ", 445 , 96 , 297 , 240 , 667 ," 1,471 ", 537 ," 5,231 "," 1,071 "," 3,722 "," 4,662 "," 3,185 "," 5,858 "," 12,323 "," 100,899 "," 12,340 "," 30,535 "," 92,523 "," 48,022 "," 129,479 "," 39,478 "," 13,355 "," 5,759 "
71," 7,615 ", 451 , -   , 218 , 726 ," 1,984 "," 1,111 ", 840 ," 13,141 "," 3,421 "," 5,246 "," 17,066 "," 9,863 "," 16,103 "," 20,179 "," 158,864 "," 17,849 "," 55,787 "," 121,784 "," 62,018 "," 113,923 "," 38,439 "," 10,186 "," 5,090 "
73," 10,033 ", 372 , -   ," 1,094 "," 1,498 "," 2,815 "," 2,667 "," 2,688 "," 16,418 "," 3,260 "," 7,206 "," 14,496 "," 8,095 "," 15,815 "," 24,543 "," 192,120 "," 27,619 "," 65,470 "," 201,531 "," 98,520 "," 332,265 "," 129,186 "," 33,609 "," 25,742 "
75," 4,593 ", -   , -   , -   , 406 , 301 , 306 , 722 ," 1,803 ", 862 ," 1,765 "," 3,730 "," 2,086 "," 2,245 "," 3,585 "," 27,842 "," 4,846 "," 11,155 "," 40,443 "," 17,240 "," 186,063 "," 71,915 "," 25,542 "," 14,136 "
77," 4,991 ", -   , 312 , -   , 746 , 698 , 872 , 811 ," 6,454 ", 356 ," 1,835 "," 2,351 "," 2,098 "," 4,804 "," 5,502 "," 67,486 "," 6,375 "," 19,761 "," 36,392 "," 22,793 "," 35,207 "," 10,563 "," 1,822 "," 2,212 "
79, 162 , -   , -   , -   , 307 , 146 , 87 , 270 , 56 , 564 , 391 ," 1,821 ", -   ," 1,104 "," 1,005 "," 11,310 "," 3,141 "," 5,276 "," 16,110 "," 8,475 "," 15,970 "," 7,397 "," 1,950 "," 1,427 "
81," 3,110 ", -   , 490 , 423 , 453 ," 1,419 "," 1,026 ", 768 ," 4,132 ", -   ," 1,072 "," 3,071 ", 833 , 694 ," 3,171 "," 34,267 "," 5,846 "," 12,020 "," 33,149 "," 19,439 "," 95,386 "," 54,306 "," 12,443 "," 14,408 "
83," 2,946 ", -   , -   , 218 , 734 ," 1,296 ", 595 , 746 ," 8,478 ", 798 ," 1,560 "," 3,129 "," 1,324 "," 3,063 "," 1,847 "," 18,367 "," 3,644 "," 6,912 "," 23,112 "," 11,741 "," 29,688 "," 10,927 "," 3,323 "," 2,850 "
85," 6,494 ", 162 , 67 , 199 ," 1,059 "," 1,292 "," 1,512 "," 2,151 "," 11,264 "," 1,266 "," 5,985 "," 7,280 "," 4,343 "," 5,094 "," 11,530 "," 89,051 "," 11,854 "," 29,225 "," 80,050 "," 41,663 "," 219,431 "," 163,300 "," 20,348 "," 34,433 "
87," 1,350 ", -   , -   , 115 , 320 ," 1,354 ", 205 , 283 ," 3,484 ", 199 , 740 ," 1,040 ", 530 , 408 ," 2,008 "," 11,361 "," 1,406 "," 4,308 "," 12,179 "," 8,970 "," 23,113 "," 8,469 "," 1,623 "," 2,720 "
89, 882 , 76 , -   , -   , -   , -   , -   , -   , 344 , -   , 390 , -   , 528 , 675 , 679 ," 11,343 "," 1,534 "," 3,254 "," 10,105 "," 5,188 "," 10,478 "," 3,370 ", 853 , 223 
95," 3,207 ", -   , -   , -   , -   , 886 , 423 , 52 ," 3,003 ", 266 , 674 ," 1,270 ", 918 ," 1,461 "," 2,468 "," 28,775 "," 4,284 "," 10,248 "," 34,211 "," 16,691 "," 28,497 "," 9,627 "," 1,370 ", 895 
97," 3,368 ", -   , -   , -   , 97 ," 1,088 ", 77 , -   ," 3,571 ", 539 , 927 ," 2,039 "," 1,201 "," 1,675 "," 4,746 "," 23,796 "," 5,403 "," 12,030 "," 31,233 "," 14,351 "," 41,126 "," 14,364 "," 3,222 "," 1,285 "
99," 2,703 ", -   , -   , 49 , 123 , 439 , 79 , 535 ," 5,259 ", 884 ," 2,476 "," 2,463 "," 1,757 "," 3,778 "," 3,991 "," 47,876 "," 5,251 "," 14,440 "," 33,553 "," 12,156 "," 22,997 "," 7,102 "," 2,333 ", 951 
107," 2,628 ", -   , 22 , 151 , 423 ," 1,000 ", 95 , 783 ," 8,651 ", 369 ," 3,128 "," 3,344 "," 1,686 "," 4,172 "," 5,430 "," 31,981 "," 8,772 "," 7,484 "," 24,703 "," 12,340 "," 15,765 "," 4,370 ", 401 , 406 
111," 2,867 ", 99 , -   , 69 , 736 , 494 , 362 , 819 ," 12,549 "," 1,723 ", 817 ," 4,334 "," 2,874 "," 4,247 "," 4,821 "," 52,789 "," 5,546 "," 19,344 "," 47,925 "," 28,581 "," 68,283 "," 20,195 "," 7,247 "," 4,038 "
113, 603 , -   , -   , -   , -   , -   , 47 , -   ," 1,904 ", -   , -   , 626 , 178 ," 1,660 "," 1,868 "," 9,404 "," 2,143 "," 4,103 "," 14,624 "," 3,922 "," 13,770 "," 7,464 "," 2,894 "," 3,436 "

