Date,Year,Type,Region,SeasonallyAdjusted_AveragePrice,AveragePrice,Total Volume,Small Hass,Large Hass,XL Hass,Small Bags,Large Bags,XLarge Bags,Total Bags
2015-08-09,2015,organic,California,2.0,2.03,86211.24,23147.23,52640.84,0.0,10423.17,0.0,0.0,10423.17
2015-08-02,2015,organic,California,1.97,1.99,89435.6,26067.67,54133.2,0.0,9234.73,0.0,0.0,9234.73
2015-07-26,2015,conventional,California,1.11,1.13,5557616.27,3112921.78,1636659.9,209427.05,590750.1,5181.16,2676.28,598607.54
2015-07-19,2015,conventional,California,1.16,1.18,5225200.52,2805887.74,1629871.75,188207.47,577736.96,20673.8,2822.8,601233.56
2015-07-12,2015,conventional,California,1.11,1.13,5451636.92,2747299.98,1923893.11,157478.05,601358.64,18032.41,3574.73,622965.78
2015-07-05,2015,conventional,California,1.1,1.12,6718011.83,3581149.88,2120303.06,254187.47,731692.08,27317.19,3362.15,762371.42
2015-07-26,2015,organic,California,1.9,1.93,98449.84,31604.24,57990.08,0.0,8855.52,0.0,0.0,8855.52
2015-07-19,2015,organic,California,1.86,1.89,103081.23,33422.15,59794.77,0.0,9864.31,0.0,0.0,9864.31
2015-07-12,2015,organic,California,1.77,1.8,115063.87,45482.88,60702.07,3.11,8867.16,8.65,0.0,8875.81
2015-07-05,2015,organic,California,1.64,1.67,135522.65,50367.92,74571.56,18.66,10564.51,0.0,0.0,10564.51
2015-06-28,2015,conventional,California,1.09,1.1,5641742.02,3163839.74,1610910.07,212173.21,630301.44,21861.54,2656.02,654819.0
2015-06-21,2015,conventional,California,1.06,1.07,5952597.29,3328631.93,1743509.25,218423.77,634244.68,24277.53,3510.13,662032.34
2015-06-14,2015,conventional,California,0.96,0.97,6741662.31,4075881.34,1771908.98,210670.82,657421.42,22961.19,2818.56,683201.17
2015-06-07,2015,conventional,California,0.97,0.98,6374842.9,3614314.44,1860329.3,221330.48,651944.51,23422.39,3501.78,678868.68
2015-06-28,2015,organic,California,1.65,1.67,116913.79,46841.35,61727.62,0.0,8341.49,3.33,0.0,8344.82
2015-06-21,2015,organic,California,1.67,1.69,116908.54,51294.9,55597.45,3.09,10009.77,3.33,0.0,10013.1
2015-06-14,2015,organic,California,1.66,1.68,116322.44,51607.99,54937.64,43.18,9733.63,0.0,0.0,9733.63
2015-06-07,2015,organic,California,1.65,1.67,114406.15,49301.79,52704.34,6.16,12393.86,0.0,0.0,12393.86
2015-05-31,2015,conventional,California,0.98,0.98,6236903.31,3620440.35,1826496.62,209443.33,554224.64,23083.08,3215.29,580523.01
2015-05-24,2015,conventional,California,1.1,1.1,5621713.64,2978396.74,1873205.91,195991.06,546420.69,24485.84,3213.4,574119.93
2015-05-17,2015,conventional,California,1.08,1.08,5289138.5,2923673.93,1649623.66,168597.35,525804.7,18497.03,2941.83,547243.56
2015-05-10,2015,conventional,California,0.93,0.93,6650357.96,4085858.78,1735132.32,194575.97,613601.09,18366.27,2823.53,634790.89
2015-05-03,2015,conventional,California,0.88,0.88,8567534.49,4340117.03,3403145.1,192473.92,609388.58,19735.89,2673.97,631798.44
2015-05-31,2015,organic,California,1.5,1.5,119999.12,52846.87,53628.31,0.0,13523.94,0.0,0.0,13523.94
2015-05-24,2015,organic,California,1.5,1.5,135543.89,60597.97,63560.02,0.0,11385.9,0.0,0.0,11385.9
2015-05-17,2015,organic,California,1.49,1.49,133759.31,65830.84,56261.16,0.0,11667.31,0.0,0.0,11667.31
2015-05-10,2015,organic,California,1.4,1.4,160570.28,77103.7,70434.57,0.0,13032.01,0.0,0.0,13032.01
2015-05-03,2015,organic,California,1.48,1.48,119059.56,54176.97,51542.88,0.0,13339.71,0.0,0.0,13339.71
2015-04-26,2015,conventional,California,1.15,1.15,4923565.04,2421009.67,1729486.77,196469.02,548252.41,26483.99,1863.18,576599.58
2015-04-19,2015,conventional,California,1.05,1.05,5871080.81,3024466.22,2070974.14,177354.82,524767.96,71988.59,1529.08,598285.63
2015-04-12,2015,conventional,California,1.06,1.06,5636644.51,2848184.0,1988818.23,185198.77,532714.02,79865.3,1864.19,614443.51
2015-04-05,2015,conventional,California,1.12,1.12,5467155.55,2754464.87,1886168.89,225396.85,539258.29,59212.09,2654.56,601124.94
2015-04-26,2015,organic,California,1.5,1.5,128166.45,63539.73,51223.93,0.0,13402.79,0.0,0.0,13402.79
2015-04-19,2015,organic,California,1.52,1.52,123851.34,55948.06,57078.01,1.49,10823.78,0.0,0.0,10823.78
2015-04-12,2015,organic,California,1.5,1.5,119549.28,59861.05,49554.48,0.0,10133.75,0.0,0.0,10133.75
2015-04-05,2015,organic,California,1.52,1.52,120814.24,57082.3,51295.72,0.0,12436.22,0.0,0.0,12436.22
2015-03-29,2015,conventional,California,1.1,1.1,5341821.67,2609532.63,1869271.31,193577.55,605995.11,61958.73,1486.34,669440.18
2015-03-22,2015,conventional,California,1.06,1.06,5571812.77,2348618.25,2314393.94,195791.46,681403.86,30058.97,1546.29,713009.12
2015-03-15,2015,conventional,California,1.06,1.06,5557163.11,2962520.41,1737353.95,194761.49,632903.55,27625.15,1998.56,662527.26
2015-03-08,2015,conventional,California,0.96,0.96,5990243.89,3484274.6,1649936.05,184720.58,642307.0,27241.05,1764.61,671312.66
2015-03-01,2015,conventional,California,0.84,0.84,6700134.25,3516551.29,2460932.41,170580.54,515386.4,34845.51,1838.1,552070.01
2015-03-29,2015,organic,California,1.53,1.53,111423.89,56829.47,44390.86,0.0,10203.56,0.0,0.0,10203.56
2015-03-22,2015,organic,California,1.3,1.3,112284.57,64969.37,40012.49,0.0,7302.71,0.0,0.0,7302.71
2015-03-15,2015,organic,California,1.52,1.52,94419.17,65441.32,21855.14,0.0,7122.71,0.0,0.0,7122.71
2015-03-08,2015,organic,California,1.48,1.48,108346.9,75016.11,21619.82,0.0,11710.97,0.0,0.0,11710.97
2015-03-01,2015,organic,California,1.15,1.15,250298.58,178033.64,59786.79,0.0,12478.15,0.0,0.0,12478.15
2015-02-22,2015,conventional,California,0.97,0.96,5951871.32,3210177.22,1933699.49,172675.88,596184.9,36940.51,2193.32,635318.73
2015-02-15,2015,conventional,California,0.97,0.96,5699944.93,3315163.6,1620462.13,169907.54,544990.68,47017.93,2403.05,594411.66
2015-02-08,2015,conventional,California,0.92,0.91,5871224.58,2908845.38,2200393.89,149458.93,553682.71,56311.08,2532.59,612526.38
2015-02-01,2015,conventional,California,0.86,0.85,9032180.67,4794142.14,3460743.8,177145.49,556205.2,41203.2,2740.84,600149.24
2015-02-22,2015,organic,California,1.42,1.41,136421.88,102232.31,25715.73,0.0,8470.51,3.33,0.0,8473.84
2015-02-15,2015,organic,California,1.53,1.52,116499.36,85444.97,21689.75,0.0,9364.64,0.0,0.0,9364.64
2015-02-08,2015,organic,California,1.36,1.35,132790.41,94440.9,24587.9,0.0,13761.61,0.0,0.0,13761.61
2015-02-01,2015,organic,California,1.12,1.11,196031.9,142332.45,41999.51,2.92,11697.02,0.0,0.0,11697.02
2015-01-25,2015,conventional,California,1.08,1.06,4929884.26,2380955.61,1827783.28,150535.5,521004.15,46809.48,2796.24,570609.87
2015-01-18,2015,conventional,California,1.04,1.02,5570915.26,2780859.66,2108450.36,121614.31,520299.26,36501.18,3190.49,559990.93
2015-01-11,2015,conventional,California,0.94,0.92,6024932.34,2889591.29,2485720.1,103573.42,510560.41,31874.03,3613.09,546047.53
2015-01-04,2015,conventional,California,0.95,0.93,5777334.9,2843648.26,2267755.26,137479.64,477193.38,47882.56,3375.8,528451.74
2015-01-25,2015,organic,California,1.32,1.3,121698.02,80952.24,28216.13,0.0,12529.65,0.0,0.0,12529.65
2015-01-18,2015,organic,California,1.26,1.24,195207.6,123138.29,58616.16,0.0,13453.15,0.0,0.0,13453.15
2015-01-11,2015,organic,California,1.12,1.1,158110.68,123712.51,25975.27,1.47,8421.43,0.0,0.0,8421.43
2015-01-04,2015,organic,California,1.26,1.24,142349.77,107490.73,25711.96,2.93,9144.15,0.0,0.0,9144.15
2016-12-25,2016,conventional,California,0.94,0.94,5414937.46,1579234.89,2192460.84,99997.75,1405419.8,99069.58,38754.6,1543243.98
2016-12-18,2016,conventional,California,0.95,0.95,4922621.54,1575318.71,1774200.38,90983.73,1313839.11,135367.97,32911.64,1482118.72
2016-12-11,2016,conventional,California,0.9,0.9,5526646.12,1638639.18,2137290.51,96836.26,1451475.99,177399.8,25004.38,1653880.17
2016-12-04,2016,conventional,California,0.98,0.98,5062952.53,1916640.11,1449671.84,86152.75,1553052.29,27829.79,29605.75,1610487.83
2016-12-25,2016,organic,California,1.54,1.53,132890.31,22779.87,56237.83,10.76,43478.17,10383.68,0.0,53861.85
2016-12-18,2016,organic,California,1.62,1.61,122728.42,18006.04,60993.65,176.75,37872.37,5679.61,0.0,43551.98
2016-12-11,2016,organic,California,1.65,1.64,128204.63,20010.88,59840.22,49.16,37233.95,11070.42,0.0,48304.37
2016-12-04,2016,organic,California,1.9,1.89,116895.28,24442.77,50935.56,10.75,38051.1,3455.1,0.0,41506.2
2016-11-27,2016,conventional,California,1.22,1.21,4185900.67,1508446.52,1313000.92,81897.44,1202939.23,49696.87,29919.69,1282555.79
2016-11-20,2016,conventional,California,1.33,1.32,4253815.59,1513797.4,1394929.07,93901.07,1161049.94,61429.08,28709.03,1251188.05
2016-11-13,2016,conventional,California,1.49,1.48,3848128.2,1326907.02,1367684.96,112541.9,952497.35,60542.13,27954.84,1040994.32
2016-11-06,2016,conventional,California,1.69,1.68,3395058.42,1111431.87,1333386.69,120964.4,763934.88,35997.83,29342.75,829275.46
2016-11-27,2016,organic,California,2.05,2.04,111851.52,21468.08,49401.43,9.22,34501.89,6470.9,0.0,40972.79
2016-11-20,2016,organic,California,2.11,2.1,107587.14,18289.69,44678.81,12.3,39260.51,5345.83,0.0,44606.34
2016-11-13,2016,organic,California,2.14,2.13,122099.57,21825.77,51895.85,7.69,38872.27,9497.99,0.0,48370.26
2016-11-06,2016,organic,California,2.38,2.37,119037.25,22140.03,56357.55,0.0,27968.55,12571.12,0.0,40539.67
2016-10-30,2016,conventional,California,1.7,1.68,3139833.5,1126017.42,1186843.99,92064.47,686375.28,25241.6,23290.74,734907.62
2016-10-23,2016,conventional,California,1.4,1.39,3899040.66,1397559.4,1129206.16,82276.22,1201528.54,55799.76,32670.58,1289998.88
2016-10-16,2016,conventional,California,1.41,1.4,4878037.64,1635631.14,1600568.32,108458.09,1423671.38,73117.52,36591.19,1533380.09
2016-10-09,2016,conventional,California,1.35,1.34,5375978.5,2021375.04,1750074.56,123430.31,1379624.2,74894.96,26579.43,1481098.59
2016-10-02,2016,conventional,California,1.2,1.19,5652496.31,2359102.44,1664176.22,121961.08,1420423.91,58294.32,28538.34,1507256.57
2016-10-30,2016,organic,California,2.51,2.49,96095.1,17620.85,52989.92,1.54,17096.29,8386.5,0.0,25482.79
2016-10-23,2016,organic,California,2.61,2.58,75897.66,9139.12,53304.49,6.17,13409.33,38.55,0.0,13447.88
2016-10-16,2016,organic,California,2.04,2.02,95599.25,13352.47,54624.49,7.72,27404.48,210.09,0.0,27614.57
2016-10-09,2016,organic,California,2.0,1.98,128966.95,15488.42,67537.91,12.36,45197.03,731.23,0.0,45928.26
2016-10-02,2016,organic,California,1.93,1.91,138994.56,15505.79,70707.24,21.66,46874.86,5885.01,0.0,52759.87
2016-09-25,2016,conventional,California,1.15,1.15,6075588.68,2357903.8,1924933.51,117423.95,1583961.67,53653.13,37712.62,1675327.42
2016-09-18,2016,conventional,California,1.22,1.22,5471565.28,1888694.03,1934688.42,112714.97,1434869.76,59481.09,41117.01,1535467.86
2016-09-11,2016,conventional,California,1.12,1.12,6059764.51,2297601.9,1976499.46,114241.36,1576949.54,66072.42,28399.83,1671421.79
2016-09-04,2016,conventional,California,1.08,1.08,6681646.14,2501655.4,2179345.27,107653.45,1819641.81,47476.91,25873.3,1892992.02
2016-09-25,2016,organic,California,1.95,1.95,123708.0,12970.52,73572.34,10.84,32296.6,4857.7,0.0,37154.3
2016-09-18,2016,organic,California,1.84,1.84,139322.81,19979.78,76879.66,3.11,36711.51,5748.75,0.0,42460.26
2016-09-11,2016,organic,California,1.55,1.55,187617.54,22135.19,97386.14,27.95,65803.6,2264.66,0.0,68068.26
2016-09-04,2016,organic,California,1.65,1.65,178322.37,19885.38,82532.01,0.0,72625.37,3279.61,0.0,75904.98
2016-08-28,2016,conventional,California,0.98,0.99,6696300.05,2683109.8,1878139.55,133979.15,1924479.53,46601.83,29990.19,2001071.55
2016-08-21,2016,conventional,California,1.04,1.05,6308000.34,2646367.78,1712067.2,171379.36,1679257.49,61139.96,37788.55,1778186.0
2016-08-14,2016,conventional,California,1.06,1.07,6538335.89,2200099.61,2538994.07,218247.48,1476927.5,73032.78,31034.45,1580994.73
2016-08-07,2016,conventional,California,1.16,1.17,6144827.51,2152079.32,2039791.18,211671.11,1616257.39,89290.29,35738.22,1741285.9
2016-08-28,2016,organic,California,1.61,1.63,175422.72,20282.39,79271.95,9.33,74991.99,867.06,0.0,75859.05
2016-08-21,2016,organic,California,1.51,1.53,176650.09,28268.87,67090.59,3.11,80495.19,792.33,0.0,81287.52
2016-08-14,2016,organic,California,1.45,1.47,208956.81,28111.21,84313.38,35.82,88974.66,7521.74,0.0,96496.4
2016-08-07,2016,organic,California,1.46,1.48,210038.55,22201.7,79011.43,0.0,81490.29,27335.13,0.0,108825.42
2016-07-31,2016,conventional,California,1.2,1.22,5947160.29,1922055.35,2069409.78,244730.21,1581210.71,95425.63,34328.61,1710964.95
2016-07-24,2016,conventional,California,1.18,1.2,6104047.38,2019596.6,2147541.33,302735.37,1526433.58,82025.57,25714.93,1634174.08
2016-07-17,2016,conventional,California,1.12,1.14,6200613.68,2196723.33,2037093.61,278664.44,1563978.55,97434.91,26718.84,1688132.3
2016-07-10,2016,conventional,California,1.06,1.08,6721690.88,2399360.67,2117397.07,292540.95,1771309.82,107540.46,33541.91,1912392.19
2016-07-03,2016,conventional,California,1.08,1.1,7087455.16,2409025.69,2439611.73,356022.1,1722082.22,119871.18,40842.24,1882795.64
2016-07-31,2016,organic,California,1.53,1.56,188494.23,21895.14,83894.93,12.45,78991.53,3700.18,0.0,82691.71
2016-07-24,2016,organic,California,1.53,1.56,185039.68,22033.28,82329.89,26.42,70510.95,10139.14,0.0,80650.09
2016-07-17,2016,organic,California,1.56,1.59,192800.93,21165.43,91337.45,7.76,80258.73,31.56,0.0,80290.29
2016-07-10,2016,organic,California,1.49,1.51,213417.87,30506.94,89764.31,10.85,92965.62,170.15,0.0,93135.77
2016-07-03,2016,organic,California,1.55,1.58,209495.6,24660.35,110483.19,21.71,72414.48,1915.87,0.0,74330.35
2016-06-26,2016,conventional,California,1.02,1.03,6407277.49,2333532.13,1967324.63,328206.37,1641400.92,107903.9,28909.54,1778214.36
2016-06-19,2016,conventional,California,1.05,1.06,6528056.18,2409003.0,2045112.18,319711.53,1622056.72,101882.82,30289.93,1754229.47
2016-06-12,2016,conventional,California,1.0,1.01,6506234.86,2597934.17,1869930.06,328653.8,1571460.04,110755.4,27501.39,1709716.83
2016-06-05,2016,conventional,California,0.93,0.94,7365675.31,2921963.17,2131717.34,373358.37,1739147.58,171241.77,28247.08,1938636.43
2016-06-26,2016,organic,California,1.49,1.51,204392.39,34450.42,103277.2,18.59,66565.39,80.79,0.0,66646.18
2016-06-19,2016,organic,California,1.55,1.57,196942.94,23134.77,102745.34,35.56,70936.33,90.94,0.0,71027.27
2016-06-12,2016,organic,California,1.48,1.5,192533.95,24728.3,101839.43,3.07,65924.0,39.15,0.0,65963.15
2016-06-05,2016,organic,California,1.53,1.55,182778.37,26377.62,88667.93,7.66,67138.56,586.6,0.0,67725.16
2016-05-29,2016,conventional,California,0.98,0.98,6700986.44,2522305.33,2097509.45,341992.36,1546212.08,160781.09,32186.13,1739179.3
2016-05-22,2016,conventional,California,0.9,0.9,6501981.08,2238875.14,2178820.82,329737.94,1594507.01,129666.02,30374.15,1754547.18
2016-05-15,2016,conventional,California,0.97,0.97,6068872.71,2247484.21,1968268.95,353196.44,1325206.1,155366.22,19350.79,1499923.11
2016-05-08,2016,conventional,California,0.79,0.79,7808461.74,2716222.01,2615648.28,336387.9,1606311.87,508755.56,25136.12,2140203.55
2016-05-01,2016,conventional,California,0.75,0.75,7661483.37,2817406.2,2628579.48,291448.73,1421239.87,485685.06,17124.03,1924048.96
2016-05-29,2016,organic,California,1.49,1.49,203163.62,22713.1,99956.65,0.0,79986.78,507.09,0.0,80493.87
2016-05-22,2016,organic,California,1.37,1.37,211081.29,22352.56,102703.17,4.59,86006.72,14.25,0.0,86020.97
2016-05-15,2016,organic,California,1.5,1.5,202641.92,26935.79,102253.41,0.0,73429.11,23.61,0.0,73452.72
2016-05-08,2016,organic,California,1.25,1.25,256669.13,19169.71,147864.84,0.0,89474.61,159.97,0.0,89634.58
2016-05-01,2016,organic,California,1.24,1.24,225346.56,16747.64,132440.93,0.0,76042.95,115.04,0.0,76157.99
2016-04-24,2016,conventional,California,0.84,0.84,6933382.4,2507347.38,2355998.94,325242.94,1467255.26,257014.51,20523.37,1744793.14
2016-04-17,2016,conventional,California,0.93,0.93,6397813.48,2370403.05,1875909.98,382295.13,1659337.91,88790.8,21076.61,1769205.32
2016-04-10,2016,conventional,California,0.94,0.94,6509000.56,2248561.59,1958358.83,358015.82,1740557.05,183825.53,19681.74,1944064.32
2016-04-03,2016,conventional,California,0.93,0.93,6060843.76,1805555.95,2247248.19,334735.17,1454479.46,201547.46,17277.53,1673304.45
2016-04-24,2016,organic,California,1.39,1.39,208434.9,18891.23,100137.58,3.04,89320.2,82.85,0.0,89403.05
2016-04-17,2016,organic,California,1.39,1.39,187358.5,17320.0,84073.76,6.08,85340.06,618.6,0.0,85958.66
2016-04-10,2016,organic,California,1.4,1.4,193519.09,16938.01,93768.59,0.0,78412.84,4399.65,0.0,82812.49
2016-04-03,2016,organic,California,1.39,1.39,206688.54,17840.63,115062.35,0.0,63388.93,10396.63,0.0,73785.56
2016-03-27,2016,conventional,California,0.93,0.93,6603707.93,1935666.12,2149391.86,311356.91,1926353.76,259874.87,21064.41,2207293.04
2016-03-20,2016,conventional,California,0.91,0.91,6476206.54,1893617.8,2191468.26,299002.93,1883192.26,189928.31,18996.98,2092117.55
2016-03-13,2016,conventional,California,0.96,0.96,6017563.88,1750943.52,1855262.7,317337.27,1888085.99,186807.69,19126.71,2094020.39
2016-03-06,2016,conventional,California,0.92,0.92,6429870.23,1893787.2,1975668.02,325582.2,1981931.04,230048.66,22853.11,2234832.81
2016-03-27,2016,organic,California,1.42,1.42,184634.36,14744.95,92064.48,7.58,62300.77,15516.58,0.0,77817.35
2016-03-20,2016,organic,California,1.46,1.46,172196.69,15752.0,89041.95,7.6,60109.32,7285.82,0.0,67395.14
2016-03-13,2016,organic,California,1.41,1.41,199915.92,18235.75,101106.75,0.0,67515.24,13058.18,0.0,80573.42
2016-03-06,2016,organic,California,1.32,1.32,198961.57,19796.42,86184.7,3.04,92547.86,429.55,0.0,92977.41
2016-02-28,2016,conventional,California,0.9,0.89,6588277.7,1873878.11,2020327.87,302210.56,2091747.51,282242.79,17870.86,2391861.16
2016-02-21,2016,conventional,California,0.9,0.89,6374019.03,1776499.0,2073957.12,267508.94,2073467.05,167309.24,15277.68,2256053.97
2016-02-14,2016,conventional,California,0.83,0.82,6807283.15,1998149.71,1974912.11,278558.48,2207054.69,333029.79,15578.37,2555662.85
2016-02-07,2016,conventional,California,0.71,0.7,10361698.17,2930343.28,3950852.38,424389.6,2693843.02,344774.59,17495.3,3056112.91
2016-02-28,2016,organic,California,1.29,1.28,214658.47,16583.5,95085.1,4.55,102374.94,610.38,0.0,102985.32
2016-02-21,2016,organic,California,1.44,1.43,161206.07,14702.41,81578.02,12.13,62863.57,2049.94,0.0,64913.51
2016-02-14,2016,organic,California,1.48,1.47,158522.76,11345.11,87139.61,97.12,48968.58,10972.34,0.0,59940.92
2016-02-07,2016,organic,California,1.39,1.38,156586.25,13085.23,84118.36,78.91,42734.34,16569.41,0.0,59303.75
2016-01-31,2016,conventional,California,0.9,0.88,6506673.96,2126066.85,2069192.92,287234.03,1874982.24,134692.75,14505.17,2024180.16
2016-01-24,2016,conventional,California,0.9,0.88,6246380.73,1230068.19,2457751.77,272665.17,2122673.09,147881.99,15340.52,2285895.6
2016-01-17,2016,conventional,California,0.92,0.9,6000013.23,1653347.69,2336705.19,250106.17,1579233.6,162289.68,18330.9,1759854.18
2016-01-10,2016,conventional,California,0.88,0.87,6303406.82,1736168.01,2173554.18,261931.07,1793640.16,321613.97,16499.43,2131753.56
2016-01-03,2016,conventional,California,0.74,0.73,7730431.28,2315175.35,2856102.41,257268.16,1950428.5,340852.13,10604.73,2301885.36
2016-01-31,2016,organic,California,1.45,1.43,155319.35,17862.54,79184.75,124.41,44998.95,13148.7,0.0,58147.65
2016-01-24,2016,organic,California,1.38,1.36,154438.32,13658.82,86743.65,0.0,17413.71,36622.14,0.0,54035.85
2016-01-17,2016,organic,California,1.47,1.45,125541.88,16081.34,66398.85,0.0,22825.96,20235.73,0.0,43061.69
2016-01-10,2016,organic,California,1.35,1.33,138580.98,17520.67,60382.97,0.0,45417.9,15259.44,0.0,60677.34
2016-01-03,2016,organic,California,1.45,1.43,122089.29,18211.06,66433.31,0.0,30530.14,6914.78,0.0,37444.92
2017-12-31,2017,conventional,California,0.93,0.93,7132711.23,2280934.17,3201737.11,111845.09,1461095.1,20553.6,56546.16,1538194.86
2017-12-24,2017,conventional,California,1.13,1.13,5346535.57,1934361.67,1934710.69,116855.41,1277612.22,21328.12,61667.46,1360607.8
2017-12-17,2017,conventional,California,0.98,0.98,6205211.05,1901831.08,2877209.2,115250.14,1229946.93,21220.86,59752.84,1310920.63
2017-12-10,2017,conventional,California,1.06,1.06,5715712.21,2234102.17,2013200.4,90168.26,1291298.72,27353.79,59588.87,1378241.38
2017-12-03,2017,conventional,California,1.09,1.09,5544556.0,2333912.0,1660573.0,100234.0,1365781.0,30856.0,53201.0,1449838.0
2017-12-31,2017,organic,California,1.72,1.71,160039.02,46373.36,55040.01,0.0,58526.97,98.68,0.0,58625.65
2017-12-24,2017,organic,California,1.83,1.82,138506.44,25276.34,58176.83,0.0,54984.78,68.49,0.0,55053.27
